Isolate,District,Date
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2607_C1_634_EMLH,WesternUrban,06-Feb-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-0806_C1_KT4695,WesternUrban,04-Feb-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2607_C2_12934_EMLH,WesternUrban,04-May-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-0205_C2_PL5801,Kambia,04-Apr-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-0205_C2_PL5803,Kambia,04-Apr-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2607_C1_611_EMLH,Unknown,05-Feb-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-1507_C2_15661_EMLK,Kambia,28-Jun-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-1807_C1_PL8780b,PortLoko,03-Jul-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2507_C2_10080_EMLK,Unknown,22-Jan-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-3007_C2_77589_EMLK,WesternUrban,04-Jan-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-0208_C2_KT5245R,Unknown,22-Feb-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-1807_C2_14723_EMLK,Kambia,18-Apr-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2607_C1_704_EMLH,Unknown,09-Feb-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2104_C2_MK4165,Koinadugu,16-Apr-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2507_C2_10082_EMLK,Unknown,22-Jan-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2507_C2_10123_EMLK,WesternUrban,25-Jan-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-0205_C1_PL5294,Kambia,24-Mar-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-1708_C2_MK2307R,Unknown,23-Feb-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-1706_C1_PL7626,PortLoko,04-Jun-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-0806_C2_PL1387,PortLoko,04-Jan-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2507_C1_MK8878,Tonkolili,23-Jul-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-1805_C1_MK3462,Bombali,26-Mar-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-1708_C2_MK2656R2,Koinadugu,03-Mar-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-1507_C1_18706_EMLH,Unknown,14-Jul-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-3004_C2_KT5317,WesternRural,24-Feb-2015
Ebola virus/H.sapiens-wt/SLE/2014/Makona-0507_C2_MK0664,Unknown,30-Dec-2014
Ebola virus/H.sapiens-wt/SLE/2015/Makona-0806_C2_PL2101,PortLoko,18-Jan-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2607_C2_12189_EMLH,WesternUrban,23-Feb-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2807_C1_466_EMLH,WesternUrban,28-Jan-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2208_C2_356_EMLH,unknown,21-Jan-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2104_C2_MK2447,Unknown,26-Feb-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2104_C2_MK2448,Unknown,26-Feb-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2607_C1_793_EMLH,Unknown,13-Feb-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2906_C1_PL5157,PortLoko,22-Mar-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2906_C1_PL5099,PortLoko,19-Mar-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-1807_C2_14749_EMLK,Kambia,19-Apr-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-1807_C2_14795_EMLK,Kambia,25-Apr-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2807_C2_554_EMLH,Unknown,03-Feb-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-3007_C2_77582_EMLK,WesternUrban,03-Jan-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2208_C2_PL7483R,Unknown,31-May-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-0806_C1_KT4730,Unknown,07-Feb-2015
Ebola virus/H.sapiens-wt/SLE/2014/Makona-2208_C1_MK0433R2,Bombali,23-Dec-2014
Ebola virus/H.sapiens-wt/SLE/2015/Makona-0208_C1_77669_EMLK,WesternUrban,08-Jan-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-1007_C1_PL4346,Kambia,04-Mar-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-1805_C1_MK3043,Unknown,14-Mar-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2208_C2_12615_EMLH,WesternRural,22-Mar-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-0809_C1_19560_EMLK_E,Kambia,07-Sep-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-1007_C1_PL4028,PortLoko,26-Feb-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-3004_C1_KT5974,Unknown,16-Mar-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-3004_C2_KT5388,WesternRural,25-Feb-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-3004_C2_KT5224,Unknown,21-Feb-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-3004_C2_KT5225,Unknown,21-Feb-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2807_C1_380_EMLH,Unknown,22-Jan-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2104_C2_MK2850R,Bombali,09-Mar-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-3004_C2_KT5382,WesternUrban,25-Feb-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-1807_C2_14782_EMLK,Kambia,23-Apr-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2507_C2_10134_EMLK,WesternUrban,25-Jan-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2807_C1_408_EMLH,Unknown,24-Jan-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2208_C1_PL4736R,Kambia,13-Mar-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-3007_C2_77578_EMLK,WesternUrban,03-Jan-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2807_C2_511_EMLH,WesternUrban,01-Feb-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-1805_C1_MK2397,Unknown,25-Feb-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-3007_C2_77613_EMLK,WesternUrban,05-Jan-2015
Ebola virus/H.sapiens-wt/SLE/2014/Makona-1708_C1_MK0388R,Bombali,22-Dec-2014
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2507_C1_77751_EMLK,Unknown,12-Jan-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2607_C2_12781_EMLH,WesternUrban,06-Apr-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2208_C1_MK2789R3,Bombali,07-Mar-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-0205_C1_PL5249,Kambia,24-Mar-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-1805_C1_MK2724,Bombali,05-Mar-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2507_C1_77795_EMLK,WesternUrban,16-Jan-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-0507_C1_PL4283,PortLoko,03-Mar-2015
Ebola virus/H.sapiens-wt/SLE/2014/Makona-0806_C2_KT2810,Unknown,16-Dec-2014
Ebola virus/H.sapiens-wt/SLE/2015/Makona-1507_C1_18650_EMLH,WesternUrban,10-Jul-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2507_C2_10352_EMLK,Unknown,08-Feb-2015
Ebola virus/H.sapiens-wt/SLE/2014/Makona-1807_C1_MK0551,Unknown,27-Dec-2014
Ebola virus/H.sapiens-wt/SLE/2014/Makona-3007_C1_77526_EMLK,WesternUrban,30-Dec-2014
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2607_C2_12855_EMLH,WesternUrban,15-Apr-2015
Ebola virus/H.sapiens-wt/SLE/2014/Makona-1708_C1_MK0379R,Bombali,22-Dec-2014
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2807_C2_489_EMLH,WesternRural,30-Jan-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-1007_C1_MK1782,Unknown,06-Feb-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2605_C2_PL5275,PortLoko,24-Mar-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-3007_C1_12578_EMLH,WesternRural,20-Mar-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2605_C2_PL5133R,PortLoko,21-Mar-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2607_C1_732_EMLH,Unknown,11-Feb-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2807_C1_468_EMLH,Unknown,29-Jan-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-1807_C1_PL9199Rb,PortLoko,13-Jul-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-3007_C1_77558_EMLK,WesternUrban,02-Jan-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-1708_C1_MK0766R,Unknown,02-Jan-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2906_C1_PL4872,Kambia,16-Mar-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-0807_C1_PL4784,PortLoko,14-Mar-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-0807_C1_PL4785,PortLoko,14-Mar-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-0208_C1_77676_EMLK,WesternUrban,08-Jan-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-0208_C1_77670_EMLK,WesternUrban,08-Jan-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-3007_C2_77581_EMLK,WesternUrban,03-Jan-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-1807_C1_15470_EMLK,Kambia,16-Jun-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-0507_C1_PL5179,PortLoko,22-Mar-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-1807_C2_10415_EMLK,WesternUrban,10-Feb-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-0806_C1_PL7429,PortLoko,29-May-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-1507_C1_13204_EMLH,Unknown,16-Jun-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-1708_C1_12705_EMLH,WesternUrban,29-Mar-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2208_C2_18659R_EMLH,WesternUrban,10-Jul-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-1209_C1_20573_EMLK,Unknown,09-Sep-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2605_C2_KT5233,Unknown,21-Feb-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2607_C1_12179_EMLH,WesternUrban,22-Feb-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-1807_C2_14521_EMLK,WesternUrban,13-Feb-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2807_C1_75728_EMLH,WesternUrban,16-Jan-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2605_C1_MK1202,Bombali,17-Jan-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2607_C2_12180_EMLH,WesternUrban,22-Feb-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-3007_C2_77615_EMLK,WesternUrban,05-Jan-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-0806_C1_PL7551,PortLoko,02-Jun-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2208_C1_PL4169R,PortLoko,01-Mar-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2906_C1_PL4347,Kambia,04-Mar-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-1807_C2_10398_EMLK,Unknown,10-Feb-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2507_C1_77746_EMLK,Unknown,11-Jan-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-3007_C1_77549_EMLK,WesternUrban,01-Jan-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-1708_C2_MK2506R,Bombali,27-Feb-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-3007_C1_443_EMLH,WesternUrban,26-Jan-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-0106_C2_PL7375,PortLoko,27-May-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2507_C2_10142_EMLK,WesternUrban,26-Jan-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2607_C1_12004_EMLH,WesternRural,14-Feb-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2208_C2_75779_EMLH,WesternUrban,19-Jan-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-1807_C1_PL8310b,PortLoko,21-Jun-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-3004_C1_KT5832,Unknown,10-Mar-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-1507_C1_18648_EMLH,WesternUrban,09-Jul-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2208_C2_18687R_EMLH,WesternUrban,12-Jul-2015
Ebola virus/H.sapiens-wt/SLE/2014/Makona-1708_C1_MK0425R,Bombali,23-Dec-2014
Ebola virus/H.sapiens-wt/SLE/2014/Makona-3007_C1_77525_EMLK,WesternUrban,30-Dec-2014
Ebola virus/H.sapiens-wt/SLE/2014/Makona-1708_C1_MK0431R,Bombali,23-Dec-2014
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2906_C2_KT5034,WesternRural,14-Feb-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-1007_C1_PL4094,Kambia,27-Feb-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-1105_C2_MK2369,Unknown,25-Feb-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2807_C2_77711_EMLK,WesternUrban,10-Jan-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-0807_C1_PL4763,Kambia,14-Mar-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-1807_C2_14763_EMLK,Kambia,21-Apr-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-0208_C1_MK10173,Tonkolili,01-Aug-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2507_C2_77723_EMLK,WesternUrban,10-Jan-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2208_C1_PL4197R,PortLoko,02-Mar-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2807_C2_77687_EMLK,Unknown,09-Jan-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-1708_C1_13031_EMLH,WesternUrban,18-May-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2807_C2_490_EMLH,Unknown,30-Jan-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-3007_C2_77591_EMLK,WesternUrban,04-Jan-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-0507_C1_PL4671,PortLoko,12-Mar-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-0205_C1_PL5361,Kambia,26-Mar-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-0806_C1_KT5073,Unknown,16-Feb-2015
Ebola virus/H.sapiens-wt/SLE/2014/Makona-1507_C2_MK0574,Unknown,28-Dec-2014
Ebola virus/H.sapiens-wt/SLE/2014/Makona-1507_C2_MK0575,Unknown,28-Dec-2014
Ebola virus/H.sapiens-wt/SLE/2014/Makona-1708_C1_MK0533R,Unknown,26-Dec-2014
Ebola virus/H.sapiens-wt/SLE/2015/Makona-1009_C1_20524_EMLK,Kambia,06-Sep-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-0806_C2_PL2668,PortLoko,29-Jan-2015
Ebola virus/H.sapiens-wt/SLE/2014/Makona-1708_C1_MK0375R,Bombali,22-Dec-2014
Ebola virus/H.sapiens-wt/SLE/2015/Makona-0507_C2_MK0725,Bombali,01-Jan-2015
Ebola virus/H.sapiens-wt/SLE/2014/Makona-1708_C1_MK0369R,Bombali,21-Dec-2014
Ebola virus/H.sapiens-wt/SLE/2015/Makona-3007_C2_77580_EMLK,WesternUrban,03-Jan-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2807_C1_362_EMLH,WesternUrban,21-Jan-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2607_C1_12161_EMLH,Unknown,21-Feb-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2607_C1_592_EMLH,Unknown,05-Feb-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-1807_C2_10354_EMLK,Unknown,08-Feb-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2807_C1_75705_EMLH,WesternUrban,15-Jan-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2906_C1_PL4483,Kambia,08-Mar-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-3007_C1_12580_EMLH,WesternRural,20-Mar-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-1007_C2_MK1000,Bombali,10-Jan-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-1807_C1_14859_EMLK,Kambia,30-Apr-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-3007_C2_77632_EMLK,WesternUrban,06-Jan-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2208_C1_MK3183R2,Bombali,17-Mar-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2507_C2_10065_EMLK,WesternUrban,22-Jan-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2104_C2_MK3050,Koinadugu,14-Mar-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-1807_C1_15314_EMLK,Kambia,06-Jun-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-1007_C1_PL4059,PortLoko,26-Feb-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2807_C2_77706_EMLK,WesternUrban,10-Jan-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-0208_C1_77681_EMLK,Unknown,08-Jan-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2507_C2_10212_EMLK,WesternUrban,31-Jan-2015
Ebola virus/H.sapiens-wt/SLE/2014/Makona-1708_C1_MK0491R,Bombali,23-Dec-2014
Ebola virus/H.sapiens-wt/SLE/2015/Makona-0807_C1_PL4813,PortLoko,14-Mar-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2607_C2_12275_EMLH,WesternUrban,02-Mar-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2507_C1_77737_EMLK,WesternUrban,11-Jan-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-1807_C1_15338_EMLK,Kambia,08-Jun-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-3007_C2_77585_EMLK,WesternUrban,04-Jan-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-0806_C1_PL7511,PortLoko,01-Jun-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-1807_C1_15000_EMLK,Kambia,13-May-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2607_C2_12872_EMLH,WesternUrban,18-Apr-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2807_C2_508_EMLH,WesternUrban,31-Jan-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2807_C2_MK1355R,Bombali,22-Jan-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2507_C1_77753_EMLK,WesternUrban,12-Jan-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-0806_C1_PL7451,PortLoko,29-May-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-1706_C1_KT4609,WesternUrban,31-Jan-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2208_C2_75722_EMLH,WesternRural,15-Jan-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-1009_C1_20525_EMLK,Kambia,06-Sep-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-0305_C1_PL5025,Kambia,20-Mar-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-1507_C1_18649_EMLH,WesternUrban,10-Jul-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-1507_C2_15686_EMLK,Kambia,30-Jun-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-0807_C1_14729_EMLK,Kambia,18-Apr-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2807_C2_77685_EMLK,WesternUrban,08-Jan-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-0806_C2_PL2921,Kambia,03-Feb-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-0305_C1_PL5202,PortLoko,23-Mar-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-0305_C1_PL5201,PortLoko,23-Mar-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2807_C1_470_EMLH,Unknown,29-Jan-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2605_C2_KT5243,Unknown,22-Feb-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2607_C1_741_EMLH,WesternUrban,11-Feb-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-0806_C2_KT4555,Unknown,29-Jan-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2005_C2_PL7053,PortLoko,15-May-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2607_C2_12257_EMLH,PortLoko,01-Mar-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2005_C2_PL7055,PortLoko,15-May-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-0806_C2_KT4553,Unknown,29-Jan-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-0809_C1_020484_EMLK_A,Kambia,04-Sep-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2208_C1_MK2918R,Koinadugu,10-Mar-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-1708_C2_MK2900R2,Bombali,10-Mar-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-1708_C1_12634_EMLH,WesternUrban,24-Mar-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-0208_C2_KT4828R,Unknown,10-Feb-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-1507_C2_MK0857,Unknown,05-Jan-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2807_C2_77693_EMLK,WesternUrban,09-Jan-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-3004_C1_KT5738,Unknown,06-Mar-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-0205_C2_PL6158,Kambia,13-Apr-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-0205_C2_PL6049,Kambia,11-Apr-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-3004_C1_KT5734,WesternRural,06-Mar-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-1007_C2_MK0894,Bombali,06-Jan-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2807_C1_75674_EMLH,WesternUrban,13-Jan-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2104_C2_MK2983,Bombali,12-Mar-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-0208_C2_KT5022R,WesternRural,13-Feb-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2607_C2_12628_EMLH,WesternRural,23-Mar-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2607_C2_12600_EMLH,WesternUrban,21-Mar-2015
Ebola virus/H.sapiens-wt/SLE/2014/Makona-1708_C1_MK0384R,Bombali,22-Dec-2014
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2208_C1_PL4127R,PortLoko,28-Feb-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-0208_C1_77679_EMLK,WesternUrban,08-Jan-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2807_C1_402_EMLH,WesternRural,23-Jan-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-0205_C2_PL6086,Kambia,12-Apr-2015
Ebola virus/H.sapiens-wt/SLE/2014/Makona-1007_C2_MK0391,Bombali,22-Dec-2014
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2507_C2_77722_EMLK,WesternUrban,10-Jan-2015
Ebola virus/H.sapiens-wt/SLE/2014/Makona-1507_C2_MK0584,Bombali,28-Dec-2014
Ebola virus/H.sapiens-wt/SLE/2014/Makona-1708_C1_MK0592R,Bombali,28-Dec-2014
Ebola virus/H.sapiens-wt/SLE/2015/Makona-3007_C1_KT7095,Kambia,05-Jul-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-3007_C2_77588_EMLK,WesternUrban,04-Jan-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-0507_C1_PL4443,PortLoko,07-Mar-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-1507_C2_19521_EMLK,Kambia,05-Jul-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-1805_C1_MK2710,Unknown,05-Mar-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2807_C1_75750_EMLH,WesternUrban,17-Jan-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-3004_C1_KT5788,WesternUrban,07-Mar-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-3004_C1_KT5789,WesternUrban,07-Mar-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-3004_C1_KT5787,WesternUrban,07-Mar-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-0507_C1_PL4680,Unknown,12-Mar-2015
Ebola virus/H.sapiens-wt/SLE/2014/Makona-1807_C1_MK0464,Unknown,24-Dec-2014
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2807_C2_491_EMLH,Unknown,30-Jan-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2104_C2_MK2938,Bombali,11-Mar-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2208_C1_PL4284R,PortLoko,03-Mar-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-3007_C2_77630_EMLK,WesternUrban,06-Jan-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2807_C2_77712_EMLK,WesternUrban,10-Jan-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2208_C1_PL4292R,Kambia,03-Mar-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2605_C1_MK1320,Bombali,20-Jan-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2607_C1_12106_EMLH,WesternUrban,18-Feb-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-1706_C1_PL7775,Unknown,08-Jun-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-1706_C1_PL7774,Unknown,08-Jun-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-1706_C1_PL7801,PortLoko,09-Jun-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-1706_C1_PL7773,Unknown,08-Jun-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-1507_C1_18660_EMLH,WesternUrban,10-Jul-2015
