Isolate,District,Date
Ebola virus/H.sapiens-wt/SLE/2015/Makona-1007_C2_PL4105,PortLoko,28-Feb-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-3007_C2_77649_EMLK,WesternUrban,07-Jan-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-0806_C1_KT4715,Unknown,06-Feb-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-1807_C2_14846_EMLK,Kambia,29-Apr-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-0806_C1_KT4677,WesternRural,03-Feb-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-1807_C1_77724_EMLK,Unknown,10-Jan-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-0208_C1_MK10128R,Tonkolili,31-Jul-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-0208_C1_77675_EMLK,WesternUrban,08-Jan-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-1708_C2_MK2283R,Bombali,22-Feb-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-0208_C2_KT4935R,WesternUrban,11-Feb-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2807_C1_389_EMLH,WesternRural,23-Jan-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2605_C1_MK0885,Unknown,06-Jan-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2807_C1_75685_EMLH,Unknown,14-Jan-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-1807_C1_15327_EMLK,Kambia,07-Jun-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-3004_C1_KT5858,Unknown,10-Mar-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-3004_C1_KT5859,Unknown,10-Mar-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2507_C1_77767_EMLK,Unknown,14-Jan-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2807_C1_413_EMLH,Unknown,24-Jan-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2807_C1_75688_EMLH,WesternRural,14-Jan-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2208_C2_PL7834R2,PortLoko,10-Jun-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-0507_C1_PL4322,PortLoko,05-Mar-2015
Ebola virus/H.sapiens-wt/SLE/2014/Makona-0106_C2_KT2315,PortLoko,02-Dec-2014
Ebola virus/H.sapiens-wt/SLE/2014/Makona-0106_C2_KT2317,PortLoko,02-Dec-2014
Ebola virus/H.sapiens-wt/SLE/2015/Makona-0109_C2_020380_EMLK,Kambia,28-Aug-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-0305_C1_PL4651,PortLoko,12-Mar-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-0908_C1_KT7105B,WesternUrban,16-Jul-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2607_C1_PL4052R,PortLoko,26-Feb-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-0806_C1_PL7496,PortLoko,31-May-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2507_C1_10022_EMLK,Unknown,19-Jan-2015
